UF;Município;DSVACINAmn;Distribuída aos Municípios
AL;Jequiá Da Praia;JANSSEN (JOHNSON & JOHNSON);155
AL;Jequiá Da Praia;PFIZER/BIONTECH;6966
AL;Joaquim Gomes;BUTANTAN/SINOVAC;8062
AL;Joaquim Gomes;FIOCRUZ/ASTRAZENECA;14005
AL;Joaquim Gomes;JANSSEN (JOHNSON & JOHNSON);300
AL;Joaquim Gomes;PFIZER/BIONTECH;4092
AL;Jundiá;BUTANTAN/SINOVAC;2718
AL;Jundiá;FIOCRUZ/ASTRAZENECA;2505
AL;Jundiá;JANSSEN (JOHNSON & JOHNSON);30
AL;Jundiá;PFIZER/BIONTECH;390
AL;Junqueiro;BUTANTAN/SINOVAC;12042
AL;Junqueiro;FIOCRUZ/ASTRAZENECA;14265
AL;Junqueiro;JANSSEN (JOHNSON & JOHNSON);350
AL;Junqueiro;PFIZER/BIONTECH;9204
AL;Lagoa Da Canoa;BUTANTAN/SINOVAC;5160
AL;Lagoa Da Canoa;FIOCRUZ/ASTRAZENECA;8285
AL;Lagoa Da Canoa;JANSSEN (JOHNSON & JOHNSON);245
AL;Lagoa Da Canoa;PFIZER/BIONTECH;13500
AL;Limoeiro De Anadia;BUTANTAN/SINOVAC;21968
AL;Limoeiro De Anadia;FIOCRUZ/ASTRAZENECA;12700
AL;Limoeiro De Anadia;JANSSEN (JOHNSON & JOHNSON);1980
AL;Limoeiro De Anadia;PFIZER/BIONTECH;4044
AL;Maceió;BUTANTAN/SINOVAC;338050
AL;Maceió;FIOCRUZ/ASTRAZENECA;504135
AL;Maceió;JANSSEN (JOHNSON & JOHNSON);26515
AL;Maceió;PFIZER/BIONTECH;788898
AL;Major Isidoro;BUTANTAN/SINOVAC;11080
AL;Major Isidoro;FIOCRUZ/ASTRAZENECA;13850
AL;Major Isidoro;JANSSEN (JOHNSON & JOHNSON);255
AL;Major Isidoro;PFIZER/BIONTECH;4572
AL;Mar Vermelho;BUTANTAN/SINOVAC;1124
AL;Mar Vermelho;FIOCRUZ/ASTRAZENECA;1670
AL;Mar Vermelho;JANSSEN (JOHNSON & JOHNSON);45
AL;Mar Vermelho;PFIZER/BIONTECH;2874
AL;Maragogi;BUTANTAN/SINOVAC;8146
AL;Maragogi;FIOCRUZ/ASTRAZENECA;13410
AL;Maragogi;JANSSEN (JOHNSON & JOHNSON);690
AL;Maragogi;PFIZER/BIONTECH;21030
AL;Maravilha;BUTANTAN/SINOVAC;5442
AL;Maravilha;FIOCRUZ/ASTRAZENECA;6590
AL;Maravilha;JANSSEN (JOHNSON & JOHNSON);110
AL;Maravilha;PFIZER/BIONTECH;1362
AL;Marechal Deodoro;BUTANTAN/SINOVAC;13572
AL;Marechal Deodoro;FIOCRUZ/ASTRAZENECA;25750
AL;Marechal Deodoro;JANSSEN (JOHNSON & JOHNSON);845
AL;Marechal Deodoro;PFIZER/BIONTECH;47544
AL;Maribondo;BUTANTAN/SINOVAC;3542
AL;Maribondo;FIOCRUZ/ASTRAZENECA;7645
AL;Maribondo;JANSSEN (JOHNSON & JOHNSON);720
AL;Maribondo;PFIZER/BIONTECH;7386
AL;Mata Grande;BUTANTAN/SINOVAC;11084
AL;Mata Grande;FIOCRUZ/ASTRAZENECA;9870
AL;Mata Grande;JANSSEN (JOHNSON & JOHNSON);1395
AL;Mata Grande;PFIZER/BIONTECH;9432
AL;Matriz De Camaragibe;BUTANTAN/SINOVAC;6054
AL;Matriz De Camaragibe;FIOCRUZ/ASTRAZENECA;10955
AL;Matriz De Camaragibe;JANSSEN (JOHNSON & JOHNSON);1350
AL;Matriz De Camaragibe;PFIZER/BIONTECH;10554
AL;Messias;BUTANTAN/SINOVAC;8520
AL;Messias;FIOCRUZ/ASTRAZENECA;14650
AL;Messias;JANSSEN (JOHNSON & JOHNSON);260
AL;Messias;PFIZER/BIONTECH;3924
AL;Minador Do Negrão;BUTANTAN/SINOVAC;3136
AL;Minador Do Negrão;FIOCRUZ/ASTRAZENECA;3560
AL;Minador Do Negrão;JANSSEN (JOHNSON & JOHNSON);290
AL;Minador Do Negrão;PFIZER/BIONTECH;1326
AL;Monteirópolis;BUTANTAN/SINOVAC;3304
AL;Monteirópolis;FIOCRUZ/ASTRAZENECA;4660
AL;Monteirópolis;JANSSEN (JOHNSON & JOHNSON);80
AL;Monteirópolis;PFIZER/BIONTECH;3030
AL;Murici;BUTANTAN/SINOVAC;7412
AL;Murici;FIOCRUZ/ASTRAZENECA;10830
AL;Murici;JANSSEN (JOHNSON & JOHNSON);1565
AL;Murici;PFIZER/BIONTECH;16194
AL;Novo Lino;BUTANTAN/SINOVAC;7420
AL;Novo Lino;FIOCRUZ/ASTRAZENECA;6400
AL;Novo Lino;JANSSEN (JOHNSON & JOHNSON);110
AL;Novo Lino;PFIZER/BIONTECH;3366
AL;Olho D'Água Das Flores;BUTANTAN/SINOVAC;8982
AL;Olho D'Água Das Flores;FIOCRUZ/ASTRAZENECA;12120
AL;Olho D'Água Das Flores;JANSSEN (JOHNSON & JOHNSON);285
AL;Olho D'Água Das Flores;PFIZER/BIONTECH;10140
AL;Olho D'Água Do Casado;BUTANTAN/SINOVAC;5204
AL;Olho D'Água Do Casado;FIOCRUZ/ASTRAZENECA;6440
AL;Olho D'Água Do Casado;JANSSEN (JOHNSON & JOHNSON);560
AL;Olho D'Água Do Casado;PFIZER/BIONTECH;1254
AL;Olho D'Água Grande;BUTANTAN/SINOVAC;3320
AL;Olho D'Água Grande;FIOCRUZ/ASTRAZENECA;3020
AL;Olho D'Água Grande;JANSSEN (JOHNSON & JOHNSON);60
AL;Olivença;BUTANTAN/SINOVAC;6536
AL;Olivença;FIOCRUZ/ASTRAZENECA;7450
AL;Olivença;JANSSEN (JOHNSON & JOHNSON);145
AL;Olivença;PFIZER/BIONTECH;1656
AL;Ouro Branco;BUTANTAN/SINOVAC;6550
AL;Ouro Branco;FIOCRUZ/ASTRAZENECA;7560
AL;Ouro Branco;JANSSEN (JOHNSON & JOHNSON);130
AL;Ouro Branco;PFIZER/BIONTECH;3228
AL;Palestina;BUTANTAN/SINOVAC;1972
AL;Palestina;FIOCRUZ/ASTRAZENECA;5100
AL;Palestina;JANSSEN (JOHNSON & JOHNSON);55
AL;Palestina;PFIZER/BIONTECH;504
AL;Palmeira Dos Índios;BUTANTAN/SINOVAC;15264
AL;Palmeira Dos Índios;FIOCRUZ/ASTRAZENECA;39340
AL;Palmeira Dos Índios;JANSSEN (JOHNSON & JOHNSON);4210
AL;Palmeira Dos Índios;PFIZER/BIONTECH;42552
AL;Pão De Açúcar;BUTANTAN/SINOVAC;16048
AL;Pão De Açúcar;FIOCRUZ/ASTRAZENECA;12450
AL;Pão De Açúcar;JANSSEN (JOHNSON & JOHNSON);480
AL;Pão De Açúcar;PFIZER/BIONTECH;6360
AL;Pariconha;BUTANTAN/SINOVAC;3602
AL;Pariconha;FIOCRUZ/ASTRAZENECA;5890
AL;Pariconha;JANSSEN (JOHNSON & JOHNSON);520
AL;Pariconha;PFIZER/BIONTECH;1470
AL;Paripueira;BUTANTAN/SINOVAC;9874
AL;Paripueira;FIOCRUZ/ASTRAZENECA;5525
AL;Paripueira;JANSSEN (JOHNSON & JOHNSON);930
AL;Paripueira;PFIZER/BIONTECH;3870
AL;Passo De Camaragibe;BUTANTAN/SINOVAC;8966
AL;Passo De Camaragibe;FIOCRUZ/ASTRAZENECA;8090
AL;Passo De Camaragibe;JANSSEN (JOHNSON & JOHNSON);205
AL;Passo De Camaragibe;PFIZER/BIONTECH;2604
AL;Paulo Jacinto;BUTANTAN/SINOVAC;2952
AL;Paulo Jacinto;FIOCRUZ/ASTRAZENECA;3340
AL;Paulo Jacinto;JANSSEN (JOHNSON & JOHNSON);115
AL;Paulo Jacinto;PFIZER/BIONTECH;4842
AL;Penedo;BUTANTAN/SINOVAC;16094
AL;Penedo;FIOCRUZ/ASTRAZENECA;29750
AL;Penedo;JANSSEN (JOHNSON & JOHNSON);980
AL;Penedo;PFIZER/BIONTECH;46920
AL;Piaçabuçu;BUTANTAN/SINOVAC;4084
AL;Piaçabuçu;FIOCRUZ/ASTRAZENECA;7650
AL;Piaçabuçu;JANSSEN (JOHNSON & JOHNSON);265
AL;Piaçabuçu;PFIZER/BIONTECH;13038
AL;Pilar;BUTANTAN/SINOVAC;14488
AL;Pilar;FIOCRUZ/ASTRAZENECA;19545
AL;Pilar;JANSSEN (JOHNSON & JOHNSON);2125
AL;Pilar;PFIZER/BIONTECH;20124
AL;Pindoba;BUTANTAN/SINOVAC;896
AL;Pindoba;FIOCRUZ/ASTRAZENECA;1320
AL;Pindoba;JANSSEN (JOHNSON & JOHNSON);205
AL;Pindoba;PFIZER/BIONTECH;1698
AL;Piranhas;BUTANTAN/SINOVAC;18374
AL;Piranhas;FIOCRUZ/ASTRAZENECA;13200
AL;Piranhas;JANSSEN (JOHNSON & JOHNSON);1300
AL;Piranhas;PFIZER/BIONTECH;7056
AL;Poço Das Trincheiras;BUTANTAN/SINOVAC;7174
