UF;Município;DSVACINAmn;Distribuída aos Municípios
PE;Bezerros;FIOCRUZ/ASTRAZENECA;33230
PE;Bezerros;JANSSEN (JOHNSON & JOHNSON);910
PE;Bezerros;PFIZER/BIONTECH;48870
PE;Bodocó;BUTANTAN/SINOVAC;16854
PE;Bodocó;FIOCRUZ/ASTRAZENECA;14195
PE;Bodocó;JANSSEN (JOHNSON & JOHNSON);295
PE;Bodocó;PFIZER/BIONTECH;23616
PE;Bom Conselho;BUTANTAN/SINOVAC;15858
PE;Bom Conselho;FIOCRUZ/ASTRAZENECA;29990
PE;Bom Conselho;JANSSEN (JOHNSON & JOHNSON);515
PE;Bom Conselho;PFIZER/BIONTECH;38664
PE;Bom Jardim;BUTANTAN/SINOVAC;21915
PE;Bom Jardim;FIOCRUZ/ASTRAZENECA;15810
PE;Bom Jardim;JANSSEN (JOHNSON & JOHNSON);250
PE;Bom Jardim;PFIZER/BIONTECH;30678
PE;Bonito;BUTANTAN/SINOVAC;17209
PE;Bonito;FIOCRUZ/ASTRAZENECA;17455
PE;Bonito;JANSSEN (JOHNSON & JOHNSON);470
PE;Bonito;PFIZER/BIONTECH;24564
PE;Brejão;BUTANTAN/SINOVAC;3088
PE;Brejão;FIOCRUZ/ASTRAZENECA;5660
PE;Brejão;JANSSEN (JOHNSON & JOHNSON);145
PE;Brejão;PFIZER/BIONTECH;7824
PE;Brejinho;BUTANTAN/SINOVAC;3392
PE;Brejinho;FIOCRUZ/ASTRAZENECA;3360
PE;Brejinho;JANSSEN (JOHNSON & JOHNSON);125
PE;Brejinho;PFIZER/BIONTECH;6528
PE;Brejo Da Madre De Deus;BUTANTAN/SINOVAC;24727
PE;Brejo Da Madre De Deus;FIOCRUZ/ASTRAZENECA;17960
PE;Brejo Da Madre De Deus;JANSSEN (JOHNSON & JOHNSON);310
PE;Brejo Da Madre De Deus;PFIZER/BIONTECH;31164
PE;Buenos Aires;BUTANTAN/SINOVAC;6007
PE;Buenos Aires;FIOCRUZ/ASTRAZENECA;6935
PE;Buenos Aires;JANSSEN (JOHNSON & JOHNSON);220
PE;Buenos Aires;PFIZER/BIONTECH;10560
PE;Buíque;BUTANTAN/SINOVAC;26510
PE;Buíque;FIOCRUZ/ASTRAZENECA;27620
PE;Buíque;JANSSEN (JOHNSON & JOHNSON);600
PE;Buíque;PFIZER/BIONTECH;38016
PE;Cabo De Santo Agostinho;BUTANTAN/SINOVAC;95394
PE;Cabo De Santo Agostinho;FIOCRUZ/ASTRAZENECA;98270
PE;Cabo De Santo Agostinho;JANSSEN (JOHNSON & JOHNSON);1880
PE;Cabo De Santo Agostinho;PFIZER/BIONTECH;155544
PE;Cabrobó;BUTANTAN/SINOVAC;15861
PE;Cabrobó;FIOCRUZ/ASTRAZENECA;21455
PE;Cabrobó;JANSSEN (JOHNSON & JOHNSON);585
PE;Cabrobó;PFIZER/BIONTECH;24246
PE;Cachoeirinha;BUTANTAN/SINOVAC;9024
PE;Cachoeirinha;FIOCRUZ/ASTRAZENECA;8580
PE;Cachoeirinha;JANSSEN (JOHNSON & JOHNSON);285
PE;Cachoeirinha;PFIZER/BIONTECH;15960
PE;Caetés;BUTANTAN/SINOVAC;11563
PE;Caetés;FIOCRUZ/ASTRAZENECA;13985
PE;Caetés;JANSSEN (JOHNSON & JOHNSON);415
PE;Caetés;PFIZER/BIONTECH;20586
PE;Calçado;BUTANTAN/SINOVAC;4283
PE;Calçado;FIOCRUZ/ASTRAZENECA;4725
PE;Calçado;JANSSEN (JOHNSON & JOHNSON);180
PE;Calçado;PFIZER/BIONTECH;7230
PE;Calumbi;BUTANTAN/SINOVAC;2343
PE;Calumbi;FIOCRUZ/ASTRAZENECA;3075
PE;Calumbi;JANSSEN (JOHNSON & JOHNSON);100
PE;Calumbi;PFIZER/BIONTECH;5388
PE;Camaragibe;BUTANTAN/SINOVAC;74720
PE;Camaragibe;FIOCRUZ/ASTRAZENECA;75400
PE;Camaragibe;JANSSEN (JOHNSON & JOHNSON);2640
PE;Camaragibe;PFIZER/BIONTECH;126894
PE;Camocim De São Félix;BUTANTAN/SINOVAC;7790
PE;Camocim De São Félix;FIOCRUZ/ASTRAZENECA;8955
PE;Camocim De São Félix;JANSSEN (JOHNSON & JOHNSON);285
PE;Camocim De São Félix;PFIZER/BIONTECH;12078
PE;Camutanga;BUTANTAN/SINOVAC;2781
PE;Camutanga;FIOCRUZ/ASTRAZENECA;8800
PE;Camutanga;JANSSEN (JOHNSON & JOHNSON);145
PE;Camutanga;PFIZER/BIONTECH;6012
PE;Canhotinho;BUTANTAN/SINOVAC;11469
PE;Canhotinho;FIOCRUZ/ASTRAZENECA;11705
PE;Canhotinho;JANSSEN (JOHNSON & JOHNSON);265
PE;Canhotinho;PFIZER/BIONTECH;14406
PE;Capoeiras;BUTANTAN/SINOVAC;7268
PE;Capoeiras;FIOCRUZ/ASTRAZENECA;10850
PE;Capoeiras;JANSSEN (JOHNSON & JOHNSON);310
PE;Capoeiras;PFIZER/BIONTECH;17526
PE;Carnaíba;BUTANTAN/SINOVAC;8341
PE;Carnaíba;FIOCRUZ/ASTRAZENECA;10400
PE;Carnaíba;JANSSEN (JOHNSON & JOHNSON);205
PE;Carnaíba;PFIZER/BIONTECH;15366
PE;Carnaubeira Da Penha;BUTANTAN/SINOVAC;12162
PE;Carnaubeira Da Penha;FIOCRUZ/ASTRAZENECA;12730
PE;Carnaubeira Da Penha;JANSSEN (JOHNSON & JOHNSON);425
PE;Carnaubeira Da Penha;PFIZER/BIONTECH;11958
PE;Carpina;BUTANTAN/SINOVAC;36754
PE;Carpina;FIOCRUZ/ASTRAZENECA;41685
PE;Carpina;JANSSEN (JOHNSON & JOHNSON);1330
PE;Carpina;PFIZER/BIONTECH;58614
PE;Caruaru;BUTANTAN/SINOVAC;185850
PE;Caruaru;FIOCRUZ/ASTRAZENECA;172305
PE;Caruaru;JANSSEN (JOHNSON & JOHNSON);54595
PE;Caruaru;PFIZER/BIONTECH;262116
PE;Casinhas;BUTANTAN/SINOVAC;5771
PE;Casinhas;FIOCRUZ/ASTRAZENECA;7670
PE;Casinhas;JANSSEN (JOHNSON & JOHNSON);230
PE;Casinhas;PFIZER/BIONTECH;10344
PE;Catende;BUTANTAN/SINOVAC;19180
PE;Catende;FIOCRUZ/ASTRAZENECA;16960
PE;Catende;JANSSEN (JOHNSON & JOHNSON);520
PE;Catende;PFIZER/BIONTECH;27678
PE;Cedro;BUTANTAN/SINOVAC;5100
PE;Cedro;FIOCRUZ/ASTRAZENECA;5015
PE;Cedro;JANSSEN (JOHNSON & JOHNSON);180
PE;Cedro;PFIZER/BIONTECH;9384
PE;Chã De Alegria;BUTANTAN/SINOVAC;6333
PE;Chã De Alegria;FIOCRUZ/ASTRAZENECA;5865
PE;Chã De Alegria;JANSSEN (JOHNSON & JOHNSON);230
PE;Chã De Alegria;PFIZER/BIONTECH;10170
PE;Chã Grande;BUTANTAN/SINOVAC;9097
PE;Chã Grande;FIOCRUZ/ASTRAZENECA;10390
PE;Chã Grande;JANSSEN (JOHNSON & JOHNSON);335
PE;Chã Grande;PFIZER/BIONTECH;16044
PE;Condado;BUTANTAN/SINOVAC;10610
PE;Condado;FIOCRUZ/ASTRAZENECA;13695
PE;Condado;JANSSEN (JOHNSON & JOHNSON);400
PE;Condado;PFIZER/BIONTECH;17802
PE;Correntes;BUTANTAN/SINOVAC;7764
PE;Correntes;FIOCRUZ/ASTRAZENECA;8035
PE;Correntes;JANSSEN (JOHNSON & JOHNSON);240
PE;Correntes;PFIZER/BIONTECH;10608
PE;Cortês;BUTANTAN/SINOVAC;4770
PE;Cortês;FIOCRUZ/ASTRAZENECA;5900
PE;Cortês;JANSSEN (JOHNSON & JOHNSON);220
PE;Cortês;PFIZER/BIONTECH;7932
PE;Cumaru;BUTANTAN/SINOVAC;4857
PE;Cumaru;FIOCRUZ/ASTRAZENECA;7350
PE;Cumaru;JANSSEN (JOHNSON & JOHNSON);150
PE;Cumaru;PFIZER/BIONTECH;8340
PE;Cupira;BUTANTAN/SINOVAC;10076
PE;Cupira;FIOCRUZ/ASTRAZENECA;11440
PE;Cupira;JANSSEN (JOHNSON & JOHNSON);365
PE;Cupira;PFIZER/BIONTECH;18558
PE;Custódia;BUTANTAN/SINOVAC;15881
PE;Custódia;FIOCRUZ/ASTRAZENECA;24285
PE;Custódia;JANSSEN (JOHNSON & JOHNSON);450
PE;Custódia;PFIZER/BIONTECH;27420
PE;Dormentes;BUTANTAN/SINOVAC;10614
PE;Dormentes;FIOCRUZ/ASTRAZENECA;7000
PE;Dormentes;JANSSEN (JOHNSON & JOHNSON);125
PE;Dormentes;PFIZER/BIONTECH;13086
PE;Escada;BUTANTAN/SINOVAC;28497
PE;Escada;FIOCRUZ/ASTRAZENECA;30690
PE;Escada;JANSSEN (JOHNSON & JOHNSON);985
PE;Escada;PFIZER/BIONTECH;43530
PE;Exu;BUTANTAN/SINOVAC;16703
PE;Exu;FIOCRUZ/ASTRAZENECA;13325
PE;Exu;JANSSEN (JOHNSON & JOHNSON);300
PE;Exu;PFIZER/BIONTECH;26490
PE;Feira Nova;BUTANTAN/SINOVAC;9098
PE;Feira Nova;FIOCRUZ/ASTRAZENECA;11865
PE;Feira Nova;JANSSEN (JOHNSON & JOHNSON);345
PE;Feira Nova;PFIZER/BIONTECH;18984
PE;Fernando De Noronha;BUTANTAN/SINOVAC;400
PE;Fernando De Noronha;FIOCRUZ/ASTRAZENECA;760
PE;Fernando De Noronha;PFIZER/BIONTECH;78
PE;Ferreiros;BUTANTAN/SINOVAC;5288
PE;Ferreiros;FIOCRUZ/ASTRAZENECA;6000
PE;Ferreiros;JANSSEN (JOHNSON & JOHNSON);195
PE;Ferreiros;PFIZER/BIONTECH;7926
PE;Flores;BUTANTAN/SINOVAC;9277
PE;Flores;FIOCRUZ/ASTRAZENECA;12070
PE;Flores;JANSSEN (JOHNSON & JOHNSON);230
PE;Flores;PFIZER/BIONTECH;15852
PE;Floresta;BUTANTAN/SINOVAC;13386
PE;Floresta;FIOCRUZ/ASTRAZENECA;14105
PE;Floresta;JANSSEN (JOHNSON & JOHNSON);440
PE;Floresta;PFIZER/BIONTECH;24348
PE;Frei Miguelinho;BUTANTAN/SINOVAC;8393
PE;Frei Miguelinho;FIOCRUZ/ASTRAZENECA;6245
PE;Frei Miguelinho;JANSSEN (JOHNSON & JOHNSON);125
PE;Frei Miguelinho;PFIZER/BIONTECH;9996
PE;Gameleira;BUTANTAN/SINOVAC;14245
PE;Gameleira;FIOCRUZ/ASTRAZENECA;10425
PE;Gameleira;JANSSEN (JOHNSON & JOHNSON);370
PE;Gameleira;PFIZER/BIONTECH;18552
PE;Garanhuns;BUTANTAN/SINOVAC;62649
PE;Garanhuns;FIOCRUZ/ASTRAZENECA;79770
PE;Garanhuns;JANSSEN (JOHNSON & JOHNSON);20775
PE;Garanhuns;PFIZER/BIONTECH;90390
PE;Glória Do Goitá;BUTANTAN/SINOVAC;12035
PE;Glória Do Goitá;FIOCRUZ/ASTRAZENECA;15720
PE;Glória Do Goitá;JANSSEN (JOHNSON & JOHNSON);415
PE;Glória Do Goitá;PFIZER/BIONTECH;20310
PE;Goiana;BUTANTAN/SINOVAC;28359
PE;Goiana;FIOCRUZ/ASTRAZENECA;55470
PE;Goiana;JANSSEN (JOHNSON & JOHNSON);1040
PE;Goiana;PFIZER/BIONTECH;52314
PE;Granito;BUTANTAN/SINOVAC;3480
PE;Granito;FIOCRUZ/ASTRAZENECA;3825
PE;Granito;JANSSEN (JOHNSON & JOHNSON);115
PE;Granito;PFIZER/BIONTECH;6132
PE;Gravatá;BUTANTAN/SINOVAC;38440
PE;Gravatá;FIOCRUZ/ASTRAZENECA;39745
PE;Gravatá;JANSSEN (JOHNSON & JOHNSON);1190
PE;Gravatá;PFIZER/BIONTECH;54996
PE;Iati;BUTANTAN/SINOVAC;6604
PE;Iati;FIOCRUZ/ASTRAZENECA;9605
PE;Iati;JANSSEN (JOHNSON & JOHNSON);285
PE;Iati;PFIZER/BIONTECH;13536
PE;Ibimirim;BUTANTAN/SINOVAC;11952
PE;Ibimirim;FIOCRUZ/ASTRAZENECA;14130
PE;Ibimirim;JANSSEN (JOHNSON & JOHNSON);450
PE;Ibimirim;PFIZER/BIONTECH;21294
PE;Ibirajuba;BUTANTAN/SINOVAC;3392
PE;Ibirajuba;FIOCRUZ/ASTRAZENECA;3635
PE;Ibirajuba;JANSSEN (JOHNSON & JOHNSON);125
PE;Ibirajuba;PFIZER/BIONTECH;6396
PE;Igarassu;BUTANTAN/SINOVAC;54751
PE;Igarassu;FIOCRUZ/ASTRAZENECA;62425
PE;Igarassu;JANSSEN (JOHNSON & JOHNSON);1725
PE;Igarassu;PFIZER/BIONTECH;84540
PE;Iguaracy;BUTANTAN/SINOVAC;5753
PE;Iguaracy;FIOCRUZ/ASTRAZENECA;6205
PE;Iguaracy;JANSSEN (JOHNSON & JOHNSON);100
PE;Iguaracy;PFIZER/BIONTECH;9378
PE;Ilha De Itamaracá;BUTANTAN/SINOVAC;11155
PE;Ilha De Itamaracá;FIOCRUZ/ASTRAZENECA;15250
PE;Ilha De Itamaracá;JANSSEN (JOHNSON & JOHNSON);435
PE;Ilha De Itamaracá;PFIZER/BIONTECH;19290
PE;Inajá;BUTANTAN/SINOVAC;8596
PE;Inajá;FIOCRUZ/ASTRAZENECA;9750
PE;Inajá;JANSSEN (JOHNSON & JOHNSON);350
PE;Inajá;PFIZER/BIONTECH;13206
PE;Ingazeira;BUTANTAN/SINOVAC;1747
PE;Ingazeira;FIOCRUZ/ASTRAZENECA;2855
PE;Ingazeira;JANSSEN (JOHNSON & JOHNSON);80
PE;Ingazeira;PFIZER/BIONTECH;4134
PE;Ipojuca;BUTANTAN/SINOVAC;45627
PE;Ipojuca;FIOCRUZ/ASTRAZENECA;40260
PE;Ipojuca;JANSSEN (JOHNSON & JOHNSON);450
PE;Ipojuca;PFIZER/BIONTECH;60990
PE;Ipubi;BUTANTAN/SINOVAC;12834
PE;Ipubi;FIOCRUZ/ASTRAZENECA;11425
PE;Ipubi;JANSSEN (JOHNSON & JOHNSON);250
PE;Ipubi;PFIZER/BIONTECH;19224
PE;Itacuruba;BUTANTAN/SINOVAC;1497
PE;Itacuruba;FIOCRUZ/ASTRAZENECA;4060
PE;Itacuruba;JANSSEN (JOHNSON & JOHNSON);80
PE;Itacuruba;PFIZER/BIONTECH;4458
PE;Itaíba;BUTANTAN/SINOVAC;7547
PE;Itaíba;FIOCRUZ/ASTRAZENECA;17860
PE;Itaíba;JANSSEN (JOHNSON & JOHNSON);295
PE;Itaíba;PFIZER/BIONTECH;17718
PE;Itambé;BUTANTAN/SINOVAC;16144
PE;Itambé;FIOCRUZ/ASTRAZENECA;14955
PE;Itambé;JANSSEN (JOHNSON & JOHNSON);390
PE;Itambé;PFIZER/BIONTECH;24534
PE;Itapetim;BUTANTAN/SINOVAC;6260
PE;Itapetim;FIOCRUZ/ASTRAZENECA;8330
PE;Itapetim;JANSSEN (JOHNSON & JOHNSON);190
PE;Itapetim;PFIZER/BIONTECH;12396
PE;Itapissuma;BUTANTAN/SINOVAC;8481
PE;Itapissuma;FIOCRUZ/ASTRAZENECA;17705
PE;Itapissuma;JANSSEN (JOHNSON & JOHNSON);425
PE;Itapissuma;PFIZER/BIONTECH;17994
PE;Itaquitinga;BUTANTAN/SINOVAC;8917
PE;Itaquitinga;FIOCRUZ/ASTRAZENECA;7120
PE;Itaquitinga;JANSSEN (JOHNSON & JOHNSON);275
PE;Itaquitinga;PFIZER/BIONTECH;11202
PE;Jaboatão Dos Guararapes;BUTANTAN/SINOVAC;362762
PE;Jaboatão Dos Guararapes;FIOCRUZ/ASTRAZENECA;321090
PE;Jaboatão Dos Guararapes;JANSSEN (JOHNSON & JOHNSON);6275
PE;Jaboatão Dos Guararapes;PFIZER/BIONTECH;467088
PE;Jaqueira;BUTANTAN/SINOVAC;4055
PE;Jaqueira;FIOCRUZ/ASTRAZENECA;5095
PE;Jaqueira;JANSSEN (JOHNSON & JOHNSON);190
PE;Jaqueira;PFIZER/BIONTECH;7812
PE;Jataúba;BUTANTAN/SINOVAC;8544
PE;Jataúba;FIOCRUZ/ASTRAZENECA;6890
PE;Jataúba;JANSSEN (JOHNSON & JOHNSON);145
PE;Jataúba;PFIZER/BIONTECH;11262
PE;Jatobá;BUTANTAN/SINOVAC;8559
PE;Jatobá;FIOCRUZ/ASTRAZENECA;10400
PE;Jatobá;JANSSEN (JOHNSON & JOHNSON);305
PE;Jatobá;PFIZER/BIONTECH;11676
PE;João Alfredo;BUTANTAN/SINOVAC;13671
PE;João Alfredo;FIOCRUZ/ASTRAZENECA;16960
PE;João Alfredo;JANSSEN (JOHNSON & JOHNSON);505
PE;João Alfredo;PFIZER/BIONTECH;23694
PE;Joaquim Nabuco;BUTANTAN/SINOVAC;5628
PE;Joaquim Nabuco;FIOCRUZ/ASTRAZENECA;7525
PE;Joaquim Nabuco;JANSSEN (JOHNSON & JOHNSON);265
PE;Joaquim Nabuco;PFIZER/BIONTECH;11316
PE;Jucati;BUTANTAN/SINOVAC;4620
PE;Jucati;FIOCRUZ/ASTRAZENECA;5450
PE;Jucati;JANSSEN (JOHNSON & JOHNSON);170
PE;Jucati;PFIZER/BIONTECH;7170
PE;Jupi;BUTANTAN/SINOVAC;5995
PE;Jupi;FIOCRUZ/ASTRAZENECA;7250
PE;Jupi;JANSSEN (JOHNSON & JOHNSON);230
PE;Jupi;PFIZER/BIONTECH;12432
PE;Jurema;BUTANTAN/SINOVAC;6552
PE;Jurema;FIOCRUZ/ASTRAZENECA;6750
PE;Jurema;JANSSEN (JOHNSON & JOHNSON);135
PE;Jurema;PFIZER/BIONTECH;11454
PE;Lagoa De Itaenga;BUTANTAN/SINOVAC;6310
PE;Lagoa De Itaenga;FIOCRUZ/ASTRAZENECA;15100
PE;Lagoa De Itaenga;JANSSEN (JOHNSON & JOHNSON);345
PE;Lagoa De Itaenga;PFIZER/BIONTECH;13302
PE;Lagoa Do Carro;BUTANTAN/SINOVAC;9349
PE;Lagoa Do Carro;FIOCRUZ/ASTRAZENECA;8275
PE;Lagoa Do Carro;JANSSEN (JOHNSON & JOHNSON);285
PE;Lagoa Do Carro;PFIZER/BIONTECH;13350
PE;Lagoa Do Ouro;BUTANTAN/SINOVAC;5783
PE;Lagoa Do Ouro;FIOCRUZ/ASTRAZENECA;5975
PE;Lagoa Do Ouro;JANSSEN (JOHNSON & JOHNSON);135
PE;Lagoa Do Ouro;PFIZER/BIONTECH;8088
PE;Lagoa Dos Gatos;BUTANTAN/SINOVAC;6612
PE;Lagoa Dos Gatos;FIOCRUZ/ASTRAZENECA;7300
PE;Lagoa Dos Gatos;JANSSEN (JOHNSON & JOHNSON);160
PE;Lagoa Dos Gatos;PFIZER/BIONTECH;8898
PE;Lagoa Grande;BUTANTAN/SINOVAC;11546
PE;Lagoa Grande;FIOCRUZ/ASTRAZENECA;9970
PE;Lagoa Grande;JANSSEN (JOHNSON & JOHNSON);320
PE;Lagoa Grande;PFIZER/BIONTECH;16050
PE;Lajedo;BUTANTAN/SINOVAC;16399
PE;Lajedo;FIOCRUZ/ASTRAZENECA;19830
PE;Lajedo;JANSSEN (JOHNSON & JOHNSON);600
PE;Lajedo;PFIZER/BIONTECH;28812
PE;Limoeiro;BUTANTAN/SINOVAC;28044
PE;Limoeiro;FIOCRUZ/ASTRAZENECA;32275
PE;Limoeiro;JANSSEN (JOHNSON & JOHNSON);900
PE;Limoeiro;PFIZER/BIONTECH;45198
PE;Macaparana;BUTANTAN/SINOVAC;9829
PE;Macaparana;FIOCRUZ/ASTRAZENECA;13090
PE;Macaparana;JANSSEN (JOHNSON & JOHNSON);390
PE;Macaparana;PFIZER/BIONTECH;17502
PE;Machados;BUTANTAN/SINOVAC;7509
PE;Machados;FIOCRUZ/ASTRAZENECA;5495
PE;Machados;JANSSEN (JOHNSON & JOHNSON);230
PE;Machados;PFIZER/BIONTECH;9552
PE;Manari;BUTANTAN/SINOVAC;8264
PE;Manari;FIOCRUZ/ASTRAZENECA;7465
PE;Manari;JANSSEN (JOHNSON & JOHNSON);265
PE;Manari;PFIZER/BIONTECH;12786
PE;Maraial;BUTANTAN/SINOVAC;4253
PE;Maraial;FIOCRUZ/ASTRAZENECA;4885
PE;Maraial;JANSSEN (JOHNSON & JOHNSON);145
PE;Maraial;PFIZER/BIONTECH;6690
PE;Mirandiba;BUTANTAN/SINOVAC;4494
PE;Mirandiba;FIOCRUZ/ASTRAZENECA;9345
PE;Mirandiba;JANSSEN (JOHNSON & JOHNSON);195
PE;Mirandiba;PFIZER/BIONTECH;12804
PE;Moreilândia;BUTANTAN/SINOVAC;5123
PE;Moreilândia;FIOCRUZ/ASTRAZENECA;4735
PE;Moreilândia;JANSSEN (JOHNSON & JOHNSON);135
PE;Moreilândia;PFIZER/BIONTECH;9654
PE;Moreno;BUTANTAN/SINOVAC;28901
PE;Moreno;FIOCRUZ/ASTRAZENECA;29905
PE;Moreno;JANSSEN (JOHNSON & JOHNSON);840
PE;Moreno;PFIZER/BIONTECH;41730
PE;Nazaré Da Mata;BUTANTAN/SINOVAC;13699
PE;Nazaré Da Mata;FIOCRUZ/ASTRAZENECA;20100
PE;Nazaré Da Mata;JANSSEN (JOHNSON & JOHNSON);545
PE;Nazaré Da Mata;PFIZER/BIONTECH;22272
PE;Olinda;BUTANTAN/SINOVAC;185552
PE;Olinda;FIOCRUZ/ASTRAZENECA;210410
PE;Olinda;JANSSEN (JOHNSON & JOHNSON);6765
PE;Olinda;PFIZER/BIONTECH;263940
PE;Orobó;BUTANTAN/SINOVAC;12275
PE;Orobó;FIOCRUZ/ASTRAZENECA;10880
PE;Orobó;JANSSEN (JOHNSON & JOHNSON);150
PE;Orobó;PFIZER/BIONTECH;15870
PE;Orocó;BUTANTAN/SINOVAC;4198
PE;Orocó;FIOCRUZ/ASTRAZENECA;10840
PE;Orocó;JANSSEN (JOHNSON & JOHNSON);225
PE;Orocó;PFIZER/BIONTECH;10422
PE;Ouricuri;BUTANTAN/SINOVAC;28887
PE;Ouricuri;FIOCRUZ/ASTRAZENECA;29390
PE;Ouricuri;JANSSEN (JOHNSON & JOHNSON);870
PE;Ouricuri;PFIZER/BIONTECH;48558
PE;Palmares;BUTANTAN/SINOVAC;27821
PE;Palmares;FIOCRUZ/ASTRAZENECA;36045
PE;Palmares;JANSSEN (JOHNSON & JOHNSON);970
PE;Palmares;PFIZER/BIONTECH;41094
PE;Palmeirina;BUTANTAN/SINOVAC;2743
PE;Palmeirina;FIOCRUZ/ASTRAZENECA;3935
PE;Palmeirina;JANSSEN (JOHNSON & JOHNSON);135
PE;Palmeirina;PFIZER/BIONTECH;7308
PE;Panelas;BUTANTAN/SINOVAC;11748
PE;Panelas;FIOCRUZ/ASTRAZENECA;12750
PE;Panelas;JANSSEN (JOHNSON & JOHNSON);195
PE;Panelas;PFIZER/BIONTECH;18474
PE;Paranatama;BUTANTAN/SINOVAC;6126
PE;Paranatama;FIOCRUZ/ASTRAZENECA;5755
PE;Paranatama;JANSSEN (JOHNSON & JOHNSON);170
PE;Paranatama;PFIZER/BIONTECH;11124
PE;Parnamirim;BUTANTAN/SINOVAC;10876
PE;Parnamirim;FIOCRUZ/ASTRAZENECA;9510
PE;Parnamirim;JANSSEN (JOHNSON & JOHNSON);190
PE;Parnamirim;PFIZER/BIONTECH;13908
PE;Passira;BUTANTAN/SINOVAC;10866
PE;Passira;FIOCRUZ/ASTRAZENECA;18630
PE;Passira;JANSSEN (JOHNSON & JOHNSON);345
PE;Passira;PFIZER/BIONTECH;22188
PE;Paudalho;BUTANTAN/SINOVAC;24867
PE;Paudalho;FIOCRUZ/ASTRAZENECA;25965
PE;Paudalho;JANSSEN (JOHNSON & JOHNSON);890
PE;Paudalho;PFIZER/BIONTECH;36996
PE;Paulista;BUTANTAN/SINOVAC;162051
PE;Paulista;FIOCRUZ/ASTRAZENECA;176915
PE;Paulista;JANSSEN (JOHNSON & JOHNSON);5520
PE;Paulista;PFIZER/BIONTECH;238602
PE;Pedra;BUTANTAN/SINOVAC;10456
PE;Pedra;FIOCRUZ/ASTRAZENECA;8780
PE;Pedra;JANSSEN (JOHNSON & JOHNSON);205
PE;Pedra;PFIZER/BIONTECH;14574
PE;Pesqueira;BUTANTAN/SINOVAC;33822
PE;Pesqueira;FIOCRUZ/ASTRAZENECA;42000
PE;Pesqueira;JANSSEN (JOHNSON & JOHNSON);1095
PE;Pesqueira;PFIZER/BIONTECH;49572
PE;Petrolândia;BUTANTAN/SINOVAC;14979
PE;Petrolândia;FIOCRUZ/ASTRAZENECA;17940
PE;Petrolândia;JANSSEN (JOHNSON & JOHNSON);595
PE;Petrolândia;PFIZER/BIONTECH;25662
PE;Petrolina;BUTANTAN/SINOVAC;178745
PE;Petrolina;FIOCRUZ/ASTRAZENECA;136660
PE;Petrolina;JANSSEN (JOHNSON & JOHNSON);4565
PE;Petrolina;PFIZER/BIONTECH;269226
PE;Poção;BUTANTAN/SINOVAC;3628
PE;Poção;FIOCRUZ/ASTRAZENECA;5510
PE;Poção;JANSSEN (JOHNSON & JOHNSON);170
PE;Poção;PFIZER/BIONTECH;8472
PE;Pombos;BUTANTAN/SINOVAC;13115
PE;Pombos;FIOCRUZ/ASTRAZENECA;13250
PE;Pombos;JANSSEN (JOHNSON & JOHNSON);345
PE;Pombos;PFIZER/BIONTECH;18306
PE;Primavera;BUTANTAN/SINOVAC;4956
PE;Primavera;FIOCRUZ/ASTRAZENECA;9290
PE;Primavera;JANSSEN (JOHNSON & JOHNSON);230
PE;Primavera;PFIZER/BIONTECH;7824
PE;Quipapá;BUTANTAN/SINOVAC;10629
PE;Quipapá;FIOCRUZ/ASTRAZENECA;10900
PE;Quipapá;JANSSEN (JOHNSON & JOHNSON);250
PE;Quipapá;PFIZER/BIONTECH;14946
PE;Quixaba;BUTANTAN/SINOVAC;2667
PE;Quixaba;FIOCRUZ/ASTRAZENECA;4445
PE;Quixaba;JANSSEN (JOHNSON & JOHNSON);115
PE;Quixaba;PFIZER/BIONTECH;5640
PE;Recife;BUTANTAN/SINOVAC;835828
PE;Recife;FIOCRUZ/ASTRAZENECA;1003345
PE;Recife;JANSSEN (JOHNSON & JOHNSON);105500
PE;Recife;PFIZER/BIONTECH;1218756
PE;Riacho Das Almas;BUTANTAN/SINOVAC;8991
PE;Riacho Das Almas;FIOCRUZ/ASTRAZENECA;10260
PE;Riacho Das Almas;JANSSEN (JOHNSON & JOHNSON);205
PE;Riacho Das Almas;PFIZER/BIONTECH;14520
PE;Ribeirão;BUTANTAN/SINOVAC;21954
PE;Ribeirão;FIOCRUZ/ASTRAZENECA;20765
PE;Ribeirão;JANSSEN (JOHNSON & JOHNSON);620
PE;Ribeirão;PFIZER/BIONTECH;25182
PE;Rio Formoso;BUTANTAN/SINOVAC;5837
PE;Rio Formoso;FIOCRUZ/ASTRAZENECA;18935
PE;Rio Formoso;JANSSEN (JOHNSON & JOHNSON);285
PE;Rio Formoso;PFIZER/BIONTECH;11844
PE;Sairé;BUTANTAN/SINOVAC;4237
PE;Sairé;FIOCRUZ/ASTRAZENECA;5370
PE;Sairé;JANSSEN (JOHNSON & JOHNSON);190
PE;Sairé;PFIZER/BIONTECH;8034
PE;Salgadinho;BUTANTAN/SINOVAC;4993
PE;Salgadinho;FIOCRUZ/ASTRAZENECA;4370
PE;Salgadinho;JANSSEN (JOHNSON & JOHNSON);170
PE;Salgadinho;PFIZER/BIONTECH;6072
PE;Salgueiro;BUTANTAN/SINOVAC;21136
PE;Salgueiro;FIOCRUZ/ASTRAZENECA;44180
PE;Salgueiro;JANSSEN (JOHNSON & JOHNSON);855
